"filename", "language", "JavaScript", "Markdown", "YAML", "Shell Script", "JSON", "JSON with Comments", "CSS", "TypeScript", "TypeScript JSX", "Ignore", "comment", "blank", "total"
"/Users/paul/development/src/github/raikou/packages/raikou/components/Accordion/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/dist/index.d.mts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 15, 6, 128
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/dist/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 15, 6, 128
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/dist/index.js", "JavaScript", 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 478
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/dist/index.mjs", "JavaScript", 445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 470
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 1, 49
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/src/ActionIcon.plugin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 22, 161
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/src/ActionIcon.story.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 16, 250
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/src/ActionIcon.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 9, 70
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/src/ActionIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 8, 20, 179
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/src/ActionIconGroup/ActionIconGroup.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/src/ActionIconGroup/ActionIconGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 3, 12, 95
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/Users/paul/development/src/github/raikou/packages/raikou/components/ActionIcon/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/dist/index.d.mts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 10, 4, 60
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/dist/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 10, 4, 60
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/dist/index.js", "JavaScript", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 258
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/dist/index.mjs", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 232
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 1, 49
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/src/Affix.plugin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/src/Affix.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/src/Affix.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 8, 17, 132
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/Users/paul/development/src/github/raikou/packages/raikou/components/Affix/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
